@relation Pulsar_Feature_Data_Type_9
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute class {0,1}
@data
7.99482915012,58.6484375,53.9007464355,2.29570356892,4.66370089851,5.4745308311,21.6870054562,7.02096209322,60.5899706611,1
4.32100731303,80.640625,67.0872489718,1.52304429809,0.957272165177,8.13136729223,27.7444886042,5.81836334795,38.8653840134,1
3.49064589271,81.734375,53.7015020121,1.49378554736,1.66186195507,7.8418230563,23.2355349158,4.48068097158,30.3619916297,1
6.55068161352,88.609375,64.7724664662,0.94958772023,0.0236582538398,8.52993744415,28.7929458875,5.379619296,33.6174832072,1
9.28331106417,96.203125,52.882292549,0.572948986756,-0.130982792041,12.9061662198,42.1658196016,3.5996927337,12.6393897259,1
9.92216536251,76.2265625,49.9889385958,1.52276514512,2.00951089459,8.59874888293,31.0611671078,5.15979697605,30.2418477457,1
10.4362375407,44.7890625,49.4445163074,2.83914594709,7.56576451931,8.3127792672,29.7672611553,5.2959596225,31.7516644892,1
5.21692163614,96.8046875,53.7694817301,0.815682793852,0.294224281965,12.5692582663,40.8361269036,3.43300332324,11.0377923893,1
5.87440475045,83.28125,56.9676357543,1.45318672574,1.51000596397,6.85969615728,25.2013690334,5.63412867901,40.1099462415,1
5.16540811202,89.921875,62.0694683116,1.15237605027,0.301770454334,8.2126899017,27.8763608139,5.62434099836,37.7450767931,1
9.71726668987,45.40625,43.1105840941,2.89794080166,9.36781570049,5.14298480786,19.7529224867,6.62704295333,60.5181660058,1
4.67898909835,66.8046875,59.0033180468,1.25848668448,1.0040975273,6.45844504021,23.1396625654,6.73747003158,54.3860184513,1
7.02557023338,57.3984375,46.4153025419,2.47375137135,6.55024211793,5.00714924039,18.5080216603,6.51571402835,61.4951842551,1
1.86000635405,78.21875,70.8176506843,0.979653312039,-0.346323399206,5.01251117069,18.7033142309,8.59194681102,92.8153682463,1
11.6865282116,115.828125,54.2057869049,-0.0684486313547,-0.587682187613,11.5737265416,39.9659782433,4.16427761689,17.828131977,1
9.29026906214,88.8203125,40.4079651789,1.00541161182,1.91498728754,7.90705987489,31.089313731,4.51299806045,20.6295443976,1
10.8663130196,112.7890625,65.9351779619,0.559755262458,-0.783082766654,6.08400357462,26.8024264915,6.34866083352,44.9636715459,1
11.5992248208,89.421875,64.0571777515,0.796473357333,-0.484886007827,8.73547810545,32.0806025418,5.11095154053,28.5423172317,1
7.71321191484,56.921875,38.504587668,2.75068623687,9.52997817555,5.15728328865,19.687058349,5.85188592447,48.2706113538,1
7.35979495285,60.328125,48.6484694927,2.10623763409,4.6651649741,5.94459338695,21.8001025813,6.33919285556,53.0885896853,1
9.61336772585,103.9375,53.6272945313,0.876831960842,0.756182668639,10.90974084,38.1028649108,3.76035491104,13.3382776281,1
1.71962801149,87.8125,71.8459452144,0.97762135341,-0.439720345046,4.98927613941,17.2682114644,8.16867082181,91.6139653696,1
3.11760447094,54.234375,52.5360715924,2.22589115637,4.6568830746,5.08757819482,15.934501137,6.66330608556,75.4636448178,1
5.99797665659,74.609375,55.6967562979,1.48606516748,1.78157391199,7.41912421805,28.9736935127,5.72362341778,37.3389888476,1
1.75581185555,80.8046875,63.9063106471,1.15624579716,0.300136267804,6.40214477212,19.3287497614,6.73852391032,67.2148744902,1
3.76906913552,70.9609375,63.3918126545,1.2220094417,0.606841175142,5.22698838248,17.7636741361,7.93240204758,87.9201934717,1
11.3350708271,46.5390625,36.2299302942,3.2731129869,13.5070298728,5.92672028597,26.4185732162,6.32961999222,44.2827908494,1
11.8734279239,93.4375,49.2363163097,0.371600312701,-0.480048945892,8.12421805183,31.1626040997,4.80497595694,25.1336405462,1
1.5193358277,78.7109375,67.0131927711,0.801835324499,-0.500311932449,3.70062555853,13.8934638377,10.298977938,150.580539327,1
2.40367420634,93.890625,57.8973005598,0.703178016668,0.0716650671847,8.15907059875,20.074608058,4.7011562268,41.8592107803,1
11.9230831057,89.640625,49.0194053372,1.24325682236,1.9087087627,5.39410187668,21.763354781,6.21199702805,49.8169693811,1
4.23778440746,51.6484375,42.7975959174,2.90993929832,9.66990224259,5.38069705094,15.860817303,6.92722186469,82.204686994,1
2.83749586944,62.546875,50.6337738346,2.16404988873,4.56428392717,4.83199285076,14.8061774495,7.95540409267,102.982675626,1
8.5662917672,51.75,42.8837454638,3.19617409255,11.4273585009,5.39142091153,18.1875483445,6.22083020684,58.4083416617,1
7.80432189092,94.28125,52.0636535737,1.47782438141,1.96170392011,6.51831992851,22.3013597657,6.19092029531,51.571296598,1
1.93470665686,80.8203125,55.6866839999,0.887976469097,0.141778317704,5.82841823056,18.4498706448,5.45579562271,49.2265105058,1
5.91860215317,82.9453125,62.9872641633,1.30004027478,0.708260991142,8.4200178731,29.6635375783,5.85058332521,38.2539532578,1
8.54800398295,75.4453125,57.2416490353,1.23716006168,0.843925427456,6.53708668454,28.2034326133,6.3732072453,45.2436215292,1
4.74371851149,101.8359375,56.8006075759,0.458688711035,-0.585890938424,8.06523681859,25.9522872465,4.66157579255,29.6969296696,1
9.54913355738,70.796875,59.6095838791,1.47787616488,1.22795340394,6.29401251117,26.1791495851,6.17185563222,43.8971348658,1
