@relation Pulsar_Feature_Data_Type_6
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute class {0,1}
@data
79.5,71.6432132166,0.948331321872,0.0125681755404,1.29758713137,14.5136804431,14.3143091107,217.854405623,?
70.3125,70.3337745592,1.34145188445,0.913257071346,0.481680071492,8.06815109283,28.5350242877,884.493210601,?
75.5625,74.6298941025,1.20229242528,0.263161220851,1.3690795353,15.3393129582,13.7529778752,199.328545103,?
104.625,88.4631809003,0.444013946449,-1.41907226687,1.80428954424,17.1296412903,11.9074178521,150.1312627,?
74.25,61.180572897,1.98216678828,3.00102536451,1.43342269884,16.0502670501,12.9655368445,175.528547683,?
64.1875,73.4814761947,1.66301286076,1.59433436011,1.8471849866,16.0400768361,11.3594756084,142.757432948,?
94.9375,56.8957036493,0.923712113108,0.684715271409,1.6344950849,14.8389479937,11.9795284733,161.554720517,?
102.0625,87.345197886,0.399460992279,-1.38635376106,2.27792672029,19.311624544,10.4895791003,115.128898282,?
92.25,60.5387272744,1.32950563254,1.36346583377,1.14566577301,12.7506244561,14.6999014997,238.996311648,?
105.625,80.2456190393,0.654111352062,-0.826751518896,0.815907059875,10.6588195913,19.9313882171,433.004893848,?
104.9375,75.3487464644,0.43274366275,-1.10116323963,1.35746201966,15.4701423398,13.7581796376,199.806708958,?
78.5,74.4613993959,1.27550122919,0.6447321429,0.975871313673,11.0320982866,17.1619718046,337.327720534,?
82.75,88.0713489167,0.878412421227,-0.695962130797,1.41286863271,15.4341767245,13.9113129169,203.98927886,?
85.1875,77.9424617506,0.905243424982,-0.50348029275,1.38337801609,15.5689400825,13.5934881991,193.734695998,?
70.0,74.3538835569,1.3803458952,0.824312503547,1.22073279714,13.8648035822,14.5993532295,226.657206536,?
68.1875,69.7389944274,1.74340702362,1.9540514303,1.94638069705,13.7488250482,11.1270847457,155.058935328,?
87.8125,72.9119492522,0.914531585628,-0.196621164404,0.762287756926,11.8624364345,18.8539808278,377.082407592,?
125.1875,69.2560635883,0.398128954792,-0.605123485042,1.55674709562,13.9998770121,12.0642326249,167.884441357,?
59.125,69.0913118634,1.94121673535,2.5530864534,0.745308310992,10.0091295622,19.9418393472,443.998187938,?
55.125,64.9325371058,1.99822778815,3.25055027953,1.20285969616,12.9220164198,15.0636195254,250.630903136,?
87.0625,76.2384981079,0.947831939861,-0.421606827738,0.61036639857,9.95746628005,21.4942479493,493.641852276,?
93.3125,79.9708687195,0.853383382781,-0.618861097555,0.994638069705,11.7390440177,16.5085074535,301.032363413,?
81.125,75.7387574165,0.950047457666,-0.357779725716,1.09472743521,12.5396942184,16.4601546154,299.014899821,?
74.6875,74.2586011432,1.03744653064,-0.0600537092258,0.922252010724,12.4395315236,15.8952210076,266.506190505,?
126.0,82.0266724913,0.301374574567,-1.34990628349,1.80339588919,18.2191197505,11.538112504,136.561803538,?
96.3125,80.1667938972,0.649237796907,-0.902342842367,1.14387846291,13.4101396676,15.844626223,269.815482353,?
66.8125,75.4678894878,1.29218100554,0.458259514107,1.24396782842,14.416453612,14.1165536928,209.725696899,?
91.75,78.4916396822,0.937706299603,-0.585379276604,1.41465594281,14.6959533633,13.5264928882,197.459320873,?
112.8125,66.7089937246,0.30296962196,-0.785764156367,2.19124218052,16.0197898774,10.8533287664,137.753926639,?
88.875,39.0246316446,2.05845249236,8.42094509078,1.25379803396,11.9664380739,13.4853015523,223.53673159,?
71.375,77.5369871416,1.40025683212,0.624259711077,1.45308310992,15.2539213044,12.9157059809,179.263182736,?
59.0,71.4973775743,1.84294441416,2.12362368111,0.658623771224,10.5561012128,20.1811978569,429.402325477,?
80.8125,73.6946561411,1.16685555654,0.295124033957,1.03932082216,11.9288278829,16.8676985129,317.863360541,?
60.5,70.1079524733,1.7964072676,2.03826600125,0.822162645219,10.7139094431,18.0647754774,363.505252003,?
72.6875,60.6410739,1.87677144917,2.98490166041,0.738159070599,10.7375166253,19.2739233324,399.14820362,?
102.40625,46.9666499863,0.808290467841,2.86703485012,1.54691689008,12.996778554,12.6409902777,192.46742718,?
90.75,82.6865315514,1.00238988068,-0.556978375215,1.44772117962,14.7361268027,13.2739452476,191.376467498,?
45.25,64.445228683,2.19727579751,4.28811375376,1.36282394996,13.9781744042,14.4902143135,227.365886113,?
76.6875,69.0658370235,1.3070450097,0.827871497515,1.85254691689,15.2409503831,12.0363823455,163.788547053,?
98.0,84.501479277,0.525894992831,-1.19622337006,1.64789991063,16.6009052738,12.3213239672,161.434183057,?
91.0,75.7636126383,1.01851093322,-0.198869304329,0.658623771224,9.89676806457,20.4229232352,461.573502731,?
86.125,74.2292689914,0.828953246699,-0.43402871032,1.45040214477,14.9937430298,13.3360569414,189.094317809,?
91.9375,84.2410742675,0.954074431955,-0.67723872828,0.785522788204,10.9697987168,18.9021163527,379.772354832,?
64.5,66.3447435748,1.56458286152,1.72748341961,0.935656836461,12.4051852607,16.5679796757,290.508639259,?
68.4375,68.4470312998,1.71426914583,1.94563639804,0.661304736372,9.48516712757,20.9785490338,506.033549897,?
96.75,71.0558759006,0.724395316726,-0.395648272319,2.12957998213,18.1738258328,11.0722600925,130.331068405,?
110.125,79.0536803381,0.665531205467,-0.803384420999,1.08400357462,12.3154873059,14.8370514785,244.506671894,?
94.0,88.2340637169,0.628652836794,-1.13584366697,1.14209115282,13.4948574426,14.6884506213,228.890044175,?
75.625,53.7370623965,1.81569873901,3.80233511156,2.06255585344,16.7963574579,10.7980652726,128.282641092,?
103.75,79.9902337789,0.401209601482,-1.11261986888,1.66934763181,14.0943982884,12.4059639,178.510189674,?
102.6875,89.976190427,0.517614161657,-1.33250816172,0.897229669348,12.0600664316,18.4103453,362.55631641,?
85.8125,63.8349617667,1.5282314463,1.51070652243,0.887399463807,10.9076803636,18.5914222812,379.774390117,?
113.875,68.0687841452,0.553463870409,-0.403105268519,1.96157283289,15.9695685701,11.7269469114,153.990719576,?
72.1875,53.4137374067,2.31512157892,5.84530536473,0.595174262735,8.95234199047,23.7084649591,624.703398536,?
115.21875,69.7359906966,0.405208147045,-0.881285669855,2.32886505809,18.0627685661,10.5147906535,122.757495045,?
90.1875,69.5613207447,1.09019086617,0.208692286568,1.30831099196,15.0752249188,14.4253680199,218.540434884,?
73.625,80.6612321689,1.15434412898,-0.132707274907,1.30384271671,13.1041982602,13.1259445664,200.362397468,?
79.4375,72.8010720646,1.59440021255,1.40279640506,0.986595174263,9.99082684394,17.8759588982,400.212152612,?
92.125,83.5358268948,0.779948748287,-0.724077678025,1.61751563896,16.7361455299,13.0080294508,178.408747487,?
106.625,73.854481076,0.738019723118,-0.235261982497,0.781054512958,9.6157339765,19.9506011666,472.944178615,?
123.25,72.1560808248,0.160172407888,-0.908555904591,2.17247542449,15.4216782833,9.96785040876,118.222395841,?
81.5625,66.7934958941,1.36395698126,0.993681547706,0.72654155496,9.96267931793,19.8701603109,443.794246571,?
79.9375,71.0558484134,1.1458559293,0.21117263152,0.980339588919,11.8999240568,16.8105255581,312.021415393,?
113.875,91.102191933,0.399642497653,-1.42033234406,0.820375335121,11.6477529098,17.5983071435,333.508782223,?
74.75,70.0370437697,1.41864972594,1.22820884977,0.859696157283,11.499892073,18.374111353,372.021043784,?
87.9375,73.2311995925,0.625861984519,-0.620839067479,1.27971403038,12.8190628795,13.5748094709,212.921338359,?
125.6875,82.642845085,0.0162326556202,-1.4689235059,1.0491510277,12.0043295992,15.8827200727,282.857038125,?
75.0625,75.7301696403,1.46689180287,0.829275889541,0.857908847185,11.6311501074,17.7434274047,334.47945175,?
99.75,70.500443261,0.955273412178,0.0839310963071,0.981233243968,9.34707621073,19.6490253674,494.565279713,?
80.9375,69.8815683407,1.27690296184,0.537220096502,1.30741733691,14.041755949,14.1628425752,217.958576896,?
71.9375,77.4237275888,1.13821143224,-0.115639414768,1.33690795353,16.0596515849,13.1753047405,179.133744526,?
55.6875,75.7848259466,1.90466821814,2.20713353653,0.765862377122,10.4027328481,19.3305771093,408.861935254,?
70.625,66.3634641576,1.26489702448,1.19696367916,1.44682752458,13.6081569608,13.3961978447,201.065803418,?
98.875,89.3167642439,0.601928469269,-1.28305040224,0.920464700626,12.6797327379,16.6308735564,290.987938223,?
81.0,64.1482657599,1.17733214476,1.12538352854,1.01876675603,11.3262057398,17.915215617,362.369138869,?
66.875,65.0556252372,1.65001093851,1.99653965682,0.856121537087,11.566331048,17.163819899,318.051594235,?
