@relation HTRU_2_Combined_Lyon_Thornton_Features_30
@attribute Profile_mean numeric
@attribute Profile_stdev numeric
@attribute Profile_skewness numeric
@attribute Profile_kurtosis numeric
@attribute DM_mean numeric
@attribute DM_stdev numeric
@attribute DM_skewness numeric
@attribute DM_kurtosis numeric
@attribute Score1 numeric
@attribute Score2 numeric
@attribute Score3 numeric
@attribute Score4 numeric
@attribute Score5 numeric
@attribute Score6 numeric
@attribute Score7 numeric
@attribute Score8 numeric
@attribute Score9 numeric
@attribute Score10 numeric
@attribute Score11 numeric
@attribute Score12 numeric
@attribute Score13 numeric
@attribute Score14 numeric
@attribute Score15 numeric
@attribute Score16 numeric
@attribute Score17 numeric
@attribute Score18 numeric
@attribute Score19 numeric
@attribute Score20 numeric
@attribute Score21 numeric
@attribute Score22 numeric
@attribute class {0,1}
@data
98.78125,38.664409,0.456107149,1.281347149,3.024247492,19.36025946,8.476797654,81.43262624,632.710558,825.0843117,13,3676,11.30919031,0.950932069,103.1823103,4908.399745,1299.786092,1.513033776,1184.348103,15.31135474,5.604675,65.139779,0.015625,0.706122678,0.897262078,1.813489816,8259.696708,15.4800611,0.039380367,4.288493865,1
97.78125,52.60479682,0.592962349,0.224945217,1.691471572,11.86776194,12.00628519,199.2081619,956.7220098,1232.161399,10,3804,25.64715624,0.881827022,88.80493687,2.996217084,2518.836198,2.528065581,2265.224257,14.97036115,6.866909,942.310051,0.023438,1.063828588,0.15069015,0.008727004,304.1594969,10.17798636,0.136090385,4.734630393,1
108.515625,44.31756571,0.195451718,0.708589752,1.726588629,12.75586279,11.71487066,177.5193438,1017.296137,1390.045584,7,2430,1.825420724,0.996974202,106.4858802,183.8998092,1564.954162,3.880913032,1908.764224,4.413250028,6.414894,95.325735,0.03125,1.152148974,0.245076756,0.024965694,833.6152356,0.712609641,0.089470321,4.383238655,1
119.671875,39.98966847,0.359964202,0.967106331,2.613712375,15.02961222,8.938616437,104.8855616,699.1991191,735.2378051,11,1002,9.860665973,0.971836664,115.2633601,4.579125929,1127.177569,0.535871196,1533.628393,17.73865458,6.743539,178.730913,0.03125,1.211175359,0.105960015,0.005318417,285.4854987,11.54419723,0.082569469,4.480779016,1
109.3203125,51.89260749,0.386717797,0.032412194,1.678093645,12.54567128,12.57411112,204.9312164,1203.303607,1309.927074,8,2327,10.50489893,0.973328944,108.7241521,10.09189892,1717.101981,10.79838642,1802.027479,17.45511895,8.534184,486.303028,0.101562,2.869350278,0.595091933,0.261143308,1081.399239,3.212060452,0.155710315,4.375274709,1
103.6796875,36.38400524,0.806300387,3.279463576,2.321906355,13.56050069,9.548849097,126.3620126,855.9524266,1109.032753,9,3049,8.35588619,0.947069302,105.6247074,2.712097167,891.0333556,2.763390499,1063.319389,3.350318557,6.683959,426.431571,0.023438,1.035485786,0.225168607,0.016511952,754.6673632,1.414213562,0.05109832,4.215661911,1
109.0546875,49.4613657,0.335681502,0.092140616,0.928929766,9.343990925,19.62280224,479.6709644,987.2267672,1116.931992,9,2361,12.49905107,0.942598704,98.58947587,8.364874632,1843.053154,8.364874632,2066.642644,1.350181771,7.271326,371.245494,0.070312,1.999676437,0.254978471,0.006102049,161.7052916,0.647287789,0.111939222,4.481058318,1
98.2109375,47.24250145,0.591122875,0.40110591,1.427257525,12.35872241,13.39411501,218.1620811,848.5862847,1144.523262,10,3749,12.95786598,0.955679498,91.40072863,7712.061915,1986.100365,5.696367465,1540.95251,11.64372913,8.131664,68.183628,0.046875,1.803329699,0.168412637,0.058592324,267.3413379,5.318022728,0.137710637,4.417019781,1
91.0234375,42.73198905,0.320523518,0.719521477,1.767558528,11.70667781,11.80153271,201.4082611,721.5819526,1078.088204,11,4669,26.90546021,0.848616507,88.20837989,8019.26367,1494.444313,89.81996368,1719.119462,7.502461461,5.25039,140.718457,0.015625,0.661486963,0.839377514,0.016737796,4817.226953,21.62673403,0.065033115,4.544384296,1
123.5703125,57.27669732,0.514650264,-0.346149639,3.496655518,21.32027994,8.74531061,84.63796303,2309.149788,3127.843653,2,503,10.90161864,1.023482268,112.5997014,20.04605556,1512.332873,20.04605556,1624.40505,6.624092192,16.848194,0.06034,0.21875,8.915226273,0.38521084,0.101880039,154.1278064,0.324174085,0.593015692,5.525943685,1
